Category,Sentence,Pattern,Highlights
Personal information,Isso aqui é nossa última chance.,I + verb + personal detail,"{""special"": [""é""]}"
Past simple,Eu tive uma ideia.,Pronouns + verb (past),"{""verbs"": [""tive""]}"
Numbers,Eu tive uma ideia.,noun + verb + number + noun,"{""special"": [""uma""]}"
Past simple,Meu pai me ensinou a fazer isso.,Pronouns + verb (past),"{""verbs"": [""ensinou""]}"
Possessives,Meu pai me ensinou a fazer isso.,possessive + noun,"{""special"": [""meu""]}"
Prepositions,Meu pai me ensinou a fazer isso.,noun + preposition + noun,"{""special"": [""a""]}"
Numbers,Um porco selvagem.,noun + verb + number + noun,"{""special"": [""um""]}"
Prepositions,"Tchau Jean-Luc, até amanhã!",noun + preposition + noun,"{""special"": [""até""]}"
Prepositions,"Não, até amanhã!",noun + preposition + noun,"{""special"": [""até""]}"
Prepositions,A Flop não tá aqui.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Antes de vir até aqui, eu fui até o sofá pra pegar o pedido do papai.",Subject + verb (present),"{""verbs"": [""do""]}"
Past simple,"Antes de vir até aqui, eu fui até o sofá pra pegar o pedido do papai.",Pronouns + verb (past),"{""verbs"": [""fui""]}"
To be (ser/estar),"Antes de vir até aqui, eu fui até o sofá pra pegar o pedido do papai.",Subject + ser/estar + noun/adjective,"{""special"": [""fui""]}"
Prepositions,"Antes de vir até aqui, eu fui até o sofá pra pegar o pedido do papai.",noun + preposition + noun,"{""special"": [""antes"", ""de"", ""até"", ""até"", ""do""]}"
Questions,O que gostaria de comer no café?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,O que gostaria de comer no café?,noun + preposition + noun,"{""special"": [""de"", ""no""]}"
Present simple,"Ah, é",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Ah, é",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"Ah, é",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Eu quero um ovo, por favor.",Subject + verb (present),"{""verbs"": [""quero""]}"
Prepositions,"Eu quero um ovo, por favor.",noun + preposition + noun,"{""special"": [""por""]}"
Numbers,"Eu quero um ovo, por favor.",noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Mas é claro.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Mas é claro.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Connecting words,Mas é claro.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Personal information,Mas é claro.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Vai ser rapidinho.,Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,"Ah, espera.",Subject + verb (present),"{""verbs"": [""espera""]}"
Present simple,Não é um ovo normal.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Não é um ovo normal.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,Não é um ovo normal.,não + verb,"{""special"": [""não"", ""é""]}"
Numbers,Não é um ovo normal.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,Não é um ovo normal.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Quero um ovo de frango-rato.,Subject + verb (present),"{""verbs"": [""Quero""]}"
Prepositions,Quero um ovo de frango-rato.,noun + preposition + noun,"{""special"": [""de""]}"
Numbers,Quero um ovo de frango-rato.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,O que é frango-rato?,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),O que é frango-rato?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,O que é frango-rato?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Personal information,O que é frango-rato?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,É o cruzamento de um frango com um rato.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É o cruzamento de um frango com um rato.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É o cruzamento de um frango com um rato.,noun + preposition + noun,"{""special"": [""de"", ""com""]}"
Numbers,É o cruzamento de um frango com um rato.,noun + verb + number + noun,"{""special"": [""um"", ""um""]}"
Personal information,É o cruzamento de um frango com um rato.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Eu vou ver com a cozinheira.,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Eu vou ver com a cozinheira.,noun + preposition + noun,"{""special"": [""com"", ""a""]}"
Prepositions,Sem pressa.,noun + preposition + noun,"{""special"": [""sem""]}"
Present simple,Já procuramos aqui e está ficando tarde.,Subject + verb (present),"{""verbs"": [""procuramos""]}"
To be (ser/estar),Já procuramos aqui e está ficando tarde.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Present continuous,Já procuramos aqui e está ficando tarde.,estar + verb-ing,"{""verbs"": [""ficando""]}"
Connecting words,Já procuramos aqui e está ficando tarde.,clause + and/but/because + clause,"{""special"": [""e""]}"
Adverbs of frequency,Já procuramos aqui e está ficando tarde.,Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,Nós vamos procurar a Floppy de manhã.,Subject + verb (present),"{""verbs"": [""vamos""]}"
Prepositions,Nós vamos procurar a Floppy de manhã.,noun + preposition + noun,"{""special"": [""a"", ""de""]}"
Present simple,"Está tudo bem, Bingo?",Subject + verb (present),"{""verbs"": [""Está""]}"
To be (ser/estar),"Está tudo bem, Bingo?",Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,"Está tudo bem, Bingo?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Ela deve estar se escondendo em algum lugar.,Subject + verb (present),"{""verbs"": [""deve""]}"
Modal verbs,Ela deve estar se escondendo em algum lugar.,pronouns + dever + verb,"{""special"": [""deve""]}"
Prepositions,Ela deve estar se escondendo em algum lugar.,noun + preposition + noun,"{""special"": [""em""]}"
Questions,Se escondendo?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Eu já sei onde está a Floppy!,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Eu já sei onde está a Floppy!,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Prepositions,Eu já sei onde está a Floppy!,noun + preposition + noun,"{""special"": [""a""]}"
Adverbs of frequency,Eu já sei onde está a Floppy!,Subject + adverb + verb,"{""special"": [""já""]}"
Questions,Onde?,Question word + aux + subject + verb,"{""special"": [""?""]}"
To be (ser/estar),O que ela estava fazendo no ovo de frango rato?,Subject + ser/estar + noun/adjective,"{""special"": [""estava""]}"
Present continuous,O que ela estava fazendo no ovo de frango rato?,estar + verb-ing,"{""verbs"": [""fazendo""]}"
Questions,O que ela estava fazendo no ovo de frango rato?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,O que ela estava fazendo no ovo de frango rato?,noun + preposition + noun,"{""special"": [""no"", ""de""]}"
Present simple,"Bom, é que a gente estava almoçando.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Bom, é que a gente estava almoçando.",Subject + ser/estar + noun/adjective,"{""special"": [""é"", ""estava""]}"
Prepositions,"Bom, é que a gente estava almoçando.",noun + preposition + noun,"{""special"": [""a""]}"
Personal information,"Bom, é que a gente estava almoçando.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Estou com tanta fome que consigo devorar todos nessa mesa.,Subject + verb (present),"{""verbs"": [""Estou""]}"
To be (ser/estar),Estou com tanta fome que consigo devorar todos nessa mesa.,Subject + ser/estar + noun/adjective,"{""special"": [""estou""]}"
Prepositions,Estou com tanta fome que consigo devorar todos nessa mesa.,noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Preciso se esconder do papai antes que ele te devore.,Subject + verb (present),"{""verbs"": [""Preciso""]}"
Prepositions,Preciso se esconder do papai antes que ele te devore.,noun + preposition + noun,"{""special"": [""do"", ""antes""]}"
Present simple,Vai ficar seguro aqui.,Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,Acho que vou comer chucrute dessa vez.,Subject + verb (present),"{""verbs"": [""Acho""]}"
Present simple,"Mas você é alérgico a chucrute, papai.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Mas você é alérgico a chucrute, papai.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,"Mas você é alérgico a chucrute, papai.",noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,"Mas você é alérgico a chucrute, papai.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Personal information,"Mas você é alérgico a chucrute, papai.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"É, faz você espirrar.",Subject + verb (present),"{""verbs"": [""É""]}"
Present simple,"Eu sei, mas é tão bom.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Eu sei, mas é tão bom.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Connecting words,"Eu sei, mas é tão bom.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Personal information,"Eu sei, mas é tão bom.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Pai, pode ser nosso cliente no restaurante?",Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,"Pai, pode ser nosso cliente no restaurante?",pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,"Pai, pode ser nosso cliente no restaurante?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,"Pai, pode ser nosso cliente no restaurante?",possessive + noun,"{""special"": [""nosso""]}"
Prepositions,"Pai, pode ser nosso cliente no restaurante?",noun + preposition + noun,"{""special"": [""no""]}"
Present simple,"Não, até eu me deitar no sofá e ler todas as sessões do jornal.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Não, até eu me deitar no sofá e ler todas as sessões do jornal.",noun + preposition + noun,"{""special"": [""até"", ""no"", ""do""]}"
Connecting words,"Não, até eu me deitar no sofá e ler todas as sessões do jornal.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"O papai vai adorar ser cliente de vocês, crianças.",Subject + verb (present),"{""verbs"": [""vai""]}"
Prepositions,"O papai vai adorar ser cliente de vocês, crianças.",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Vamos bingo, a gente pode brincar.",Subject + verb (present),"{""verbs"": [""Vamos""]}"
Modal verbs,"Vamos bingo, a gente pode brincar.",pronouns + poder + verb,"{""special"": [""pode""]}"
Prepositions,"Vamos bingo, a gente pode brincar.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Vai, sonho.",Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,Deixa eu sonhar que sou um morcego.,Subject + verb (present),"{""verbs"": [""Deixa""]}"
To be (ser/estar),Deixa eu sonhar que sou um morcego.,Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Numbers,Deixa eu sonhar que sou um morcego.,noun + verb + number + noun,"{""special"": [""um""]}"
Past simple,Não funcionou.,Pronouns + verb (past),"{""verbs"": [""funcionou""]}"
Negation,Não funcionou.,não + verb,"{""special"": [""não"", ""funcionou""]}"
Questions,Que pena.,Question word + aux + subject + verb,"{""special"": [""que""]}"
Past simple,Pelo menos tentou.,Pronouns + verb (past),"{""verbs"": [""tentou""]}"
Past simple,Pra onde o papai foi?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
Questions,Pra onde o papai foi?,Question word + aux + subject + verb,"{""special"": [""onde""]}"
Present simple,Ele está lá fora.,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Ele está lá fora.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Present simple,Eu recebo!,Subject + verb (present),"{""verbs"": [""recebo""]}"
Present simple,Joga logo isso!,Subject + verb (present),"{""verbs"": [""Joga""]}"
Present simple,"É minha, minha, minha!",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É minha, minha, minha!",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"É minha, minha, minha!",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Você é um morcego?,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Você é um morcego?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,Você é um morcego?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Numbers,Você é um morcego?,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,Você é um morcego?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Sou!,Subject + verb (present),"{""verbs"": [""Sou""]}"
Present simple,E como é?,Subject + verb (present),"{""verbs"": [""como""]}"
Questions,E como é?,Question word + aux + subject + verb,"{""special"": [""como""]}"
Connecting words,E como é?,clause + and/but/because + clause,"{""special"": [""e""]}"
Prepositions,Dá pra comer um monte de frutas!,noun + preposition + noun,"{""special"": [""de""]}"
Numbers,Dá pra comer um monte de frutas!,noun + verb + number + noun,"{""special"": [""um""]}"
Questions,Você conseguiu ver meu ponto?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,Você conseguiu ver meu ponto?,possessive + noun,"{""special"": [""meu""]}"
Past simple,Vi!,Pronouns + verb (past),"{""verbs"": [""Vi""]}"
Past simple,Eu vi!,Pronouns + verb (past),"{""verbs"": [""vi""]}"
Past simple,E você achou que foi bom?,Pronouns + verb (past),"{""verbs"": [""achou""]}"
To be (ser/estar),E você achou que foi bom?,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Questions,E você achou que foi bom?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Connecting words,E você achou que foi bom?,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Eu garanto que posso fazer +1 montão!,Subject + verb (present),"{""verbs"": [""posso""]}"
Modal verbs,Eu garanto que posso fazer +1 montão!,pronouns + poder + verb,"{""special"": [""posso""]}"
Questions,Você ainda consegue?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Adverbs of frequency,Você ainda consegue?,Subject + adverb + verb,"{""special"": [""ainda""]}"
Prepositions,"Até mais, Louie!",noun + preposition + noun,"{""special"": [""até""]}"
Present simple,Está na hora de fazer mais pontos!,Subject + verb (present),"{""verbs"": [""Está""]}"
To be (ser/estar),Está na hora de fazer mais pontos!,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Prepositions,Está na hora de fazer mais pontos!,noun + preposition + noun,"{""special"": [""na"", ""de""]}"
Present simple,Já são 7 horas.,Subject + verb (present),"{""verbs"": [""são""]}"
To be (ser/estar),Já são 7 horas.,Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Numbers,Já são 7 horas.,noun + verb + number + noun,"{""special"": [""7""]}"
Adverbs of frequency,Já são 7 horas.,Subject + adverb + verb,"{""special"": [""já""]}"
Past simple,Você dormiu bastante.,Pronouns + verb (past),"{""verbs"": [""dormiu""]}"
Past simple,Eu tive um sonho incrível.,Pronouns + verb (past),"{""verbs"": [""tive""]}"
Numbers,Eu tive um sonho incrível.,noun + verb + number + noun,"{""special"": [""um""]}"
Numbers,"1, 2, 3, 4 Ô, pai!",noun + verb + number + noun,"{""special"": [""4""]}"
Numbers,"5, 6 Sim, amiga.",noun + verb + number + noun,"{""special"": [""6""]}"
Present simple,"7, 8 Obrigada por cuidar da gente.",Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,"7, 8 Obrigada por cuidar da gente.",noun + preposition + noun,"{""special"": [""por"", ""da""]}"
Numbers,"7, 8 Obrigada por cuidar da gente.",noun + verb + number + noun,"{""special"": [""8""]}"
Present simple,"12, 10 De nada.",Subject + verb (present),"{""verbs"": [""nada""]}"
Prepositions,"12, 10 De nada.",noun + preposition + noun,"{""special"": [""de""]}"
Numbers,"12, 10 De nada.",noun + verb + number + noun,"{""special"": [""10""]}"
Present simple,"Eu fiz o que você gosta, Bluey.",Subject + verb (present),"{""verbs"": [""gosta""]}"
Past simple,"Eu fiz o que você gosta, Bluey.",Pronouns + verb (past),"{""verbs"": [""fiz""]}"
Prepositions,Salada de frutas.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Chega de frutas.,Subject + verb (present),"{""verbs"": [""Chega""]}"
Prepositions,Chega de frutas.,noun + preposition + noun,"{""special"": [""de""]}"
Prepositions,"Só uma torrada, por favor.",noun + preposition + noun,"{""special"": [""por""]}"
Numbers,"Só uma torrada, por favor.",noun + verb + number + noun,"{""special"": [""uma""]}"
Adverbs of frequency,"Só uma torrada, por favor.",Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,"É fácil, Fabinho!",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É fácil, Fabinho!",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"É fácil, Fabinho!",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Acorda!,Subject + verb (present),"{""verbs"": [""Acorda""]}"
Questions,Ele já veio?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Adverbs of frequency,Ele já veio?,Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,Não estou vendo nenhum ovo.,Subject + verb (present),"{""verbs"": [""estou""]}"
To be (ser/estar),Não estou vendo nenhum ovo.,Subject + ser/estar + noun/adjective,"{""special"": [""estou""]}"
Present continuous,Não estou vendo nenhum ovo.,estar + verb-ing,"{""verbs"": [""vendo""]}"
Negation,Não estou vendo nenhum ovo.,não + verb,"{""special"": [""não"", ""estou""]}"
Present simple,Aqui também não tem nenhum.,Subject + verb (present),"{""verbs"": [""tem""]}"
Negation,Aqui também não tem nenhum.,não + verb,"{""special"": [""não"", ""tem""]}"
Adverbs of frequency,Aqui também não tem nenhum.,Subject + adverb + verb,"{""special"": [""também""]}"
Present simple,Ele esqueceu da gente de novo.,Subject + verb (present),"{""verbs"": [""da""]}"
Past simple,Ele esqueceu da gente de novo.,Pronouns + verb (past),"{""verbs"": [""esqueceu""]}"
Prepositions,Ele esqueceu da gente de novo.,noun + preposition + noun,"{""special"": [""da"", ""de""]}"
Past simple,O que foi?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
Questions,O que foi?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,É uma caixa!,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É uma caixa!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É uma caixa!,noun + verb + number + noun,"{""special"": [""uma""]}"
Personal information,É uma caixa!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Os ovos devem estar aí dentro.,Subject + verb (present),"{""verbs"": [""devem""]}"
Modal verbs,Os ovos devem estar aí dentro.,pronouns + dever + verb,"{""special"": [""devem""]}"
Present simple,Ela está vazia.,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Ela está vazia.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,E se a gente olhar no su de novo?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,E se a gente olhar no su de novo?,noun + preposition + noun,"{""special"": [""a"", ""no"", ""de""]}"
Connecting words,E se a gente olhar no su de novo?,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Aqui tem alguma coisa.,Subject + verb (present),"{""verbs"": [""tem""]}"
Personal information,Aqui tem alguma coisa.,I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,"Não, é só uma letra.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Não, é só uma letra.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,"Não, é só uma letra.",noun + verb + number + noun,"{""special"": [""uma""]}"
Personal information,"Não, é só uma letra.",I + verb + personal detail,"{""special"": [""é""]}"
Adverbs of frequency,"Não, é só uma letra.",Subject + adverb + verb,"{""special"": [""só""]}"
Prepositions,Ele nem se importa com a gente.,noun + preposition + noun,"{""special"": [""com"", ""a""]}"
Connecting words,Ele nem se importa com a gente.,clause + and/but/because + clause,"{""special"": [""nem""]}"
Present simple,Eu acho que são pistas de onde ele escondeu os ovos de Páscoa.,Subject + verb (present),"{""verbs"": [""acho""]}"
To be (ser/estar),Eu acho que são pistas de onde ele escondeu os ovos de Páscoa.,Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Prepositions,Eu acho que são pistas de onde ele escondeu os ovos de Páscoa.,noun + preposition + noun,"{""special"": [""de"", ""de""]}"
Adverbs of frequency,"Uh, já sei!",Subject + adverb + verb,"{""special"": [""já""]}"
Connecting words,Letras e caixa!,clause + and/but/because + clause,"{""special"": [""e""]}"
Prepositions,Caixa de cartas!,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Vamos!,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,Tem ovos aí dentro?,Subject + verb (present),"{""verbs"": [""Tem""]}"
Questions,Tem ovos aí dentro?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Personal information,Tem ovos aí dentro?,I + verb + personal detail,"{""special"": [""tem""]}"
Numbers,"Não, só um origami.",noun + verb + number + noun,"{""special"": [""um""]}"
Adverbs of frequency,"Não, só um origami.",Subject + adverb + verb,"{""special"": [""só""]}"
